"Can not display transaction informations","Kan ikke vise transaktionsinformationer"
"Transaction Id","Transaktions Id"
"Amount","Bel&oslash;b"
"Transaction date","Betalingsdato"
"Card type","Korttype"
"Payment type","Betalingstype"
"Card number","Kortnummer"
"Surcharge fee","Betalingsgebyr"
"Captured","H&#230;vet"
"Refunded","Refunderet"
"Acquirer","Indl&oslash;ser"
"Status","Status"
"Transaction status","Transaktions status"
"Deleted date","Slettet den"
"Order number","Order nummer"
"Currency code","Valuta kode"
"3D Secure","3D Secure"
"Description","Beskrivelse"
"Cardholder","Kort indehaver"
"Authorized amount","Bel&oslash;b autoriseret"
"Authorized date","Autoriseret dato"
"Captured amount","H&#230;vet bel&oslash;b"
"Captured date","H&#230;vet dato"
"Credited amount","Refunderet bel&oslash;b"
"Credited date","Refunderet dato"
"History","Historik"
"Creditmemo not available","Kreditering er ikke mulig"
"Order: %1 returned with an error: %2","Order: %1 returnerede men en fejl: %2"
"%1 order(s) were not canceled or voided.","%1 ordre kunne ikke annulleres eller slettes"
"No order(s) were canceled or voided.","Ingen ordre blev annulleret eller slettet."
"You have canceled and voided %1 order(s).","Du har annulleret og slettet %1 ordre."
"%1 order(s) were not deleted.","%1 ordre blev ikke slettet."
"No order(s) were deleted.","Ingen ordre blev slettet."
"You have deleted %1 order(s).","Du har slettet %1 ordre"
"Invoice not available","Fakturering er ikke mulig"
"Notified customer about invoice #%1","Kunden er underrettet om faktura #%1"
"%1 order(s) cannot be Invoiced and Captured.","%1 ordre kunne ikke blive faktureret og h&#230;vet"
"You cannot Invoice and Capture the order(s).","Du kan ikke fakturer og h&#230;ve ordrene."
"You Invoiced and Captured %1 order(s).","Du har fakturerede og h&#230;vede %1 ordre."
"Creditmemo not available","Kreditering er ikke mulig"
"Invoice: %1 returned with an error: %2","Faktura: %1 returnerede med en fejl: %2"
"%1 invoice(s) were not refunded.","%1 faktura(ere) kunne ikke krediteres"
"No invoice(s) were refunded.","Ingen fakturaere blev krediteret"
"You have refunded %1 invoice(s).","Du har krediterede %1 faktura(er)."
"The allowed payment types could not be loaded","De tilladte betalingstyper kunne ikke indl&#230;ses"
"The payment window could not be retrived","Betalingsvinduet kunne ikke indl&#230;ses"
"Order placed and is now awaiting payment authorization","Orderen er nu placeret og afventer betalings godkendelse"
"The order was canceled","Orderen blev slettet"
"Could not use instant invoice.","Kunne ikke udf&oslash;re instant invoice"
"Please enable remote payment processing from the module configuration","Du skal aktivere betalings systemet i modulets configuration"
"Payment authorization was a success.","Betalings anmodningen var en success."
"Fraud was detected on the payment","Der er detekteret svindel p&aring; betalingen"
"added to order","tilf&oslash;jet til ordren"
"Notified customer about order #%1","Kunden er underrettet om order #%1"
"Could not send order confirmation for order #%1","Kunne ikke sende ordre bekr&#230;ftigelsen til kunden for ordre #%1"
"No answer from ePay","Ingen svar fra ePay"
"Could not retrive allowed payment types","Kunne ikke indl&#230; tilladte betalings typer"
"Bambora Checkout error","Bambora Checkout fejl"
"Shipping","Forsendelse"
"pcs.","stk."
"The capture action could not, be processed online. Please enable remote payment processing from the module configuration","H&#230;vningen kunne ikke udf&oslash;res online. Du skal aktivere remote payment processing i modulets configuration"
"The capture action failed.","H&#230;vningen fejlede."
"The refund action could not, be processed online. Please enable remote payment processing from the module configuration","Refunderingen kunne ikke udf&oslash;res online. Du skal aktivere remote payment processing i modulets configuration"
"The refund action failed.","Refunderingen fejlede."
"The payment have been voided","Betalingen er annulleret"
"The void action could not, be processed online. Please enable remote payment processing from the module configuration","Betalingen kunne ikke annulleres online. Du skal aktivere remote payment processing i modulets configuration"
"The void action failed.","Annullering af betalingen fejlede"
"Adjustment refund","Justerings bel&oslash;b"
"You will be redirected to Bambora Checkout.","Du vil blive vidre sendt til Bambora Checkout."
"Place order","Place order"
"You will be redirected to the ePay | Payment solutions.","Du vil blive vidre sendt til ePay | Payment solutions."
"Shipping discount","Forsendelses rabat"
"Error opening payment window","Betalingsvinduet kunne ikke &aring;bnes"
"Payment Information","Betalings informationer"
"Bambora Online Checkout - Transaction information", "Bambora Online Checkout - Transaktions informationer"
"Bambora Online ePay - Transaction information", "Bambora Online Checkout - Transaktions informationer"
